,date,daily_return
149,2022-05-05,-0.02882766970953506
150,2022-05-06,-0.0034478868487390303
151,2022-05-09,-0.018412888232515003
152,2022-05-10,-0.0025736572984216503
153,2022-05-11,-0.010156760435635457
154,2022-05-12,-0.0025913737927621507
155,2022-05-13,0.015402698615091762
156,2022-05-16,0.0006934626849268285
157,2022-05-17,0.013869576854242477
158,2022-05-18,-0.03754305725205976
159,2022-05-19,-0.013458524230725692
160,2022-05-20,0.0007949655391387788
161,2022-05-23,0.02099000031935228
162,2022-05-24,0.0008408833856222631
163,2022-05-25,0.006363527340573902
164,2022-05-26,0.016475618945590347
165,2022-05-27,0.01816176960999987
166,2022-05-31,-0.004863236358899255
167,2022-06-01,-0.004366079717591258
168,2022-06-02,0.014673358337599089
169,2022-06-03,-0.010902488949070574
